epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2069.88,1.12772,0.71956,0.89427,0.98221,0.99272,0.98337,0.63183,1.24848,0.69155,0.92157,0.000525179,0.000525179,0.000525179
43,2114.69,1.10143,0.70336,0.88475,0.98286,0.99435,0.98345,0.63032,1.29222,0.71166,0.92467,0.0005075,0.0005075,0.0005075
44,2161.71,1.14464,0.7071,0.87953,0.98304,0.99435,0.98557,0.63273,1.29923,0.72816,0.92232,0.000489821,0.000489821,0.000489821
45,2211.42,1.13641,0.69541,0.88144,0.98405,0.99435,0.98372,0.63558,1.2276,0.69699,0.90668,0.000472143,0.000472143,0.000472143
46,2259.89,1.04839,0.68461,0.8795,0.98151,0.99342,0.98397,0.63638,1.19619,0.66015,0.89819,0.000454464,0.000454464,0.000454464
47,2306.81,1.10762,0.69022,0.8856,0.983,0.99435,0.98405,0.64387,1.19857,0.64397,0.89379,0.000436786,0.000436786,0.000436786
48,2353.36,1.08669,0.67502,0.88167,0.98269,0.99435,0.98585,0.661,1.20925,0.64849,0.89409,0.000419107,0.000419107,0.000419107
49,2400.48,1.07088,0.67156,0.86597,0.97856,0.99435,0.98496,0.65575,1.24735,0.65972,0.90568,0.000401429,0.000401429,0.000401429
50,2447.68,1.04105,0.64918,0.86616,0.98416,0.99398,0.98561,0.6636,1.22398,0.65013,0.90346,0.00038375,0.00038375,0.00038375
51,2492.9,1.12562,0.66553,0.88889,0.98612,0.99435,0.98403,0.67166,1.22243,0.66323,0.90528,0.000366071,0.000366071,0.000366071
52,2538.04,1.08086,0.67358,0.88884,0.98292,0.99435,0.98182,0.66544,1.19109,0.65821,0.9015,0.000348393,0.000348393,0.000348393
53,2582.13,1.11206,0.6605,0.88701,0.98428,0.99435,0.9823,0.65896,1.16969,0.63886,0.89671,0.000330714,0.000330714,0.000330714
54,2624.32,1.05902,0.64315,0.8738,0.98453,0.99435,0.98259,0.66172,1.1704,0.63028,0.8977,0.000313036,0.000313036,0.000313036
55,2667.36,1.10613,0.64768,0.87981,0.98334,0.99435,0.98471,0.66408,1.16037,0.62711,0.89479,0.000295357,0.000295357,0.000295357
56,2710.78,1.06787,0.64723,0.87415,0.98027,0.99435,0.98436,0.6618,1.15559,0.62785,0.88874,0.000277679,0.000277679,0.000277679
57,2753.69,1.09648,0.66239,0.8858,0.98151,0.99435,0.98519,0.66871,1.17205,0.62377,0.89156,0.00026,0.00026,0.00026
58,2795.23,1.08345,0.63025,0.88219,0.9829,0.99347,0.98477,0.6684,1.21395,0.63653,0.90263,0.000242321,0.000242321,0.000242321
59,2836.6,1.03813,0.62967,0.87185,0.98183,0.99385,0.98447,0.6663,1.20904,0.64599,0.90586,0.000224643,0.000224643,0.000224643
60,2877.29,1.01753,0.6127,0.87159,0.97972,0.99435,0.98399,0.66179,1.19861,0.61087,0.90366,0.000206964,0.000206964,0.000206964
61,2918.23,1.05681,0.69769,0.88494,0.97978,0.99435,0.98283,0.6596,1.21646,0.62691,0.90503,0.000189286,0.000189286,0.000189286
62,2959.03,1.04112,0.65604,0.87653,0.98044,0.99362,0.98219,0.66297,1.20266,0.63742,0.90147,0.000171607,0.000171607,0.000171607
63,2999.93,1.05856,0.66965,0.89516,0.98114,0.99398,0.9824,0.65965,1.16986,0.62767,0.8972,0.000153929,0.000153929,0.000153929
64,3041.35,1.05493,0.66222,0.89323,0.98225,0.99336,0.98435,0.6616,1.16536,0.632,0.89617,0.00013625,0.00013625,0.00013625
65,3083.08,1.04622,0.63503,0.89783,0.98244,0.99341,0.98572,0.65861,1.17452,0.62155,0.89476,0.000118571,0.000118571,0.000118571
66,3127.16,1.04203,0.66645,0.87968,0.98094,0.99435,0.98388,0.65987,1.19185,0.62016,0.89542,0.000100893,0.000100893,0.000100893
67,3168.86,1.05128,0.65343,0.90106,0.97895,0.99435,0.98349,0.66161,1.20135,0.61786,0.89441,8.32143e-05,8.32143e-05,8.32143e-05
68,3211.76,1.04309,0.64387,0.88512,0.98023,0.99435,0.98355,0.66411,1.17594,0.60736,0.88992,6.55357e-05,6.55357e-05,6.55357e-05
69,3252.48,1.03861,0.64556,0.88077,0.98138,0.99435,0.98346,0.66938,1.18343,0.60212,0.88825,4.78571e-05,4.78571e-05,4.78571e-05
70,3293.47,1.04265,0.63317,0.88853,0.98159,0.99435,0.98345,0.66855,1.19001,0.60186,0.88898,3.01786e-05,3.01786e-05,3.01786e-05
